userID,restaurantID,RName,Cuisine,Area,Seats,Halls_Count,Summer_Terrace,VIP_Zone,Avg_Bill,Staff_Count,Michelin_Stars,Age,Gender,Profession,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Rating
V0830,R043,Pavilion,Asian,96,110,3,Yes,No,3855,13,0,50,Female,Sales,0.59,0.67,0.63,0.42,0.25,3.0
V0704,R005,Selfie,Seafood,192,129,1,No,Yes,2810,38,0,50,Male,Manager,0.75,0.74,0.39,0.74,0.89,2.0
V0400,R050,Probka na Tsvetnom,Author's,173,37,2,Yes,Yes,3768,27,0,51,Male,Medical,0.44,0.58,0.5,0.56,0.64,2.5
V0451,R034,Butler,Georgian,279,77,1,Yes,No,2967,40,0,34,Male,Service Worker,0.63,0.58,0.44,0.59,0.51,2.0
V0609,R025,Technikum,Author's,132,54,2,Yes,No,5274,16,0,35,Female,Entrepreneur,0.4,0.43,0.43,0.53,0.32,1.0
V0289,R020,Peshi,Fusion,142,37,1,Yes,No,5212,22,0,19,Female,Scientist,0.45,0.36,0.95,0.56,0.35,2.5
V0507,R009,Sakhalin,Seafood,128,78,2,Yes,No,4288,29,0,55,Male,Creative,0.47,0.65,0.63,0.67,0.37,1.0
V0677,R004,SAVVA,Seafood,186,168,1,Yes,No,4008,27,0,58,Male,Manager,0.34,0.48,0.76,0.51,0.31,1.0
V0313,R028,L.E.S.,Author's,194,73,3,No,No,5713,23,0,61,Male,Service Worker,0.44,0.47,0.66,0.72,0.53,1.0
V0653,R023,Cristal Room Baccarat,French,108,79,2,Yes,No,6023,19,0,38,Female,Manager,0.83,0.71,0.16,0.63,0.45,1.5
V0059,R047,Sartoria Lamberti,Italian,147,39,2,Yes,No,5986,28,0,27,Female,Sales,0.52,0.59,0.33,0.39,0.43,3.0
V0853,R005,Selfie,Seafood,192,129,1,No,Yes,2810,38,0,36,Female,Sales,0.74,0.08,0.6,0.6,0.57,2.5
V0223,R002,Artest Chef’s Table,Japanese,160,121,1,No,No,3285,32,0,33,Male,Sales,0.77,0.46,0.5,0.87,0.62,3.0
V0094,R049,Margarita Bistro,Georgian,266,63,3,No,No,3019,49,0,35,Male,Sales,0.69,0.46,0.4,0.55,0.0,3.0
V0676,R046,Harvest,Japanese,103,150,1,No,No,5453,13,0,51,Male,Scientist,0.63,0.34,0.44,0.52,0.55,3.5
V0720,R014,Onest,Author's,190,51,1,Yes,No,5936,38,0,36,Female,Scientist,0.74,0.59,0.55,0.49,0.53,1.0
V0398,R027,Wine & Crab,Russian,274,46,2,Yes,No,2744,44,0,59,Female,Creative,0.92,0.67,0.69,0.71,0.73,2.5
V0385,R008,Biologie,Asian,96,53,2,Yes,Yes,3185,5,0,59,Male,Service Worker,0.47,0.73,0.57,0.7,0.23,2.5
V0918,R049,Margarita Bistro,Georgian,266,63,3,No,No,3019,49,0,61,Male,IT Specialist,0.41,0.61,0.62,0.56,0.69,3.5
V0252,R018,La Marée,Asian,67,56,2,No,No,5289,11,0,44,Female,IT Specialist,0.62,0.6,0.34,0.73,0.82,3.0
V0653,R003,White Rabbit,Author's,392,55,1,Yes,No,5149,64,0,38,Female,Manager,0.83,0.71,0.16,0.63,0.45,1.0
V0289,R019,BOLSHOI,Italian,256,89,3,Yes,No,5882,47,0,19,Female,Scientist,0.45,0.36,0.95,0.56,0.35,3.0
V0174,R047,Sartoria Lamberti,Italian,147,39,2,Yes,No,5986,28,0,52,Female,Creative,0.45,0.39,0.59,0.58,0.37,2.5
V0299,R012,Maya,Italian,215,48,2,No,Yes,5227,40,1,55,Male,Medical,0.66,0.54,0.64,0.39,0.0,5.0
V0643,R021,Darbar,French,106,68,3,No,No,3143,13,0,21,Male,Medical,0.62,0.63,0.59,0.62,0.56,3.5
V0710,R040,Alice,Fusion,149,71,1,Yes,No,2637,23,2,45,Male,IT Specialist,0.6,0.67,0.4,0.51,0.52,5.0
V0689,R042,AQ Kitchen,Author's,162,31,1,Yes,No,2506,32,0,37,Male,Manager,0.6,0.61,0.28,0.62,0.13,1.0
V0221,R039,Fahrenheit,Georgian,154,84,1,No,Yes,4056,31,1,37,Female,Creative,0.69,0.52,0.28,0.64,0.78,4.0
V0217,R007,Grand Cru,Italian,227,46,2,No,No,5496,38,1,64,Female,Manager,0.44,0.31,0.63,0.65,0.47,3.5
V0393,R026,Grace Bistro,Japanese,77,50,2,Yes,No,9397,19,0,60,Female,Creative,0.63,0.78,0.18,0.63,0.33,1.5
V0538,R030,Dr. Zhivago,Asian,337,58,1,Yes,Yes,2952,54,0,45,Female,Student,0.74,0.55,0.79,0.6,0.61,2.5
V0628,R025,Technikum,Author's,132,54,2,Yes,No,5274,16,0,21,Male,Manager,0.45,0.44,0.4,0.6,0.53,1.0
V0599,R042,AQ Kitchen,Author's,162,31,1,Yes,No,2506,32,0,45,Male,Scientist,0.26,0.38,0.68,0.63,0.76,2.5
V0619,R028,L.E.S.,Author's,194,73,3,No,No,5713,23,0,60,Male,Finance,0.76,0.61,0.51,0.62,0.32,1.0
V0165,R005,Selfie,Seafood,192,129,1,No,Yes,2810,38,0,54,Male,Finance,0.41,0.67,0.27,0.83,0.24,3.0
V0762,R003,White Rabbit,Author's,392,55,1,Yes,No,5149,64,0,55,Male,Finance,0.58,0.56,0.48,0.6,0.54,2.0
V0692,R021,Darbar,French,106,68,3,No,No,3143,13,0,47,Male,Sales,0.42,0.55,0.61,0.65,0.18,2.5
V0345,R025,Technikum,Author's,132,54,2,Yes,No,5274,16,0,37,Male,IT Specialist,0.25,0.56,0.0,0.55,0.32,1.0
V0421,R005,Selfie,Seafood,192,129,1,No,Yes,2810,38,0,26,Female,Service Worker,0.78,0.65,0.46,0.79,0.11,1.5
V0752,R034,Butler,Georgian,279,77,1,Yes,No,2967,40,0,44,Female,Entrepreneur,0.62,0.53,0.24,0.52,0.42,2.0
V0795,R001,Twins Garden,Seafood,136,54,1,Yes,No,5306,32,0,56,Male,Medical,0.66,0.35,0.39,0.73,0.61,3.0
V0255,R047,Sartoria Lamberti,Italian,147,39,2,Yes,No,5986,28,0,39,Male,IT Specialist,0.38,0.73,0.59,0.59,0.29,3.0
V0527,R019,BOLSHOI,Italian,256,89,3,Yes,No,5882,47,0,44,Female,Student,0.51,0.62,0.68,0.61,0.37,3.0
V0150,R048,Eggsellent,Seafood,143,93,2,No,Yes,3760,23,0,18,Male,Finance,0.66,0.68,0.48,0.55,0.81,2.5
V0144,R025,Technikum,Author's,132,54,2,Yes,No,5274,16,0,51,Male,Scientist,0.67,0.55,0.72,0.47,0.5,1.0
V0673,R021,Darbar,French,106,68,3,No,No,3143,13,0,58,Male,IT Specialist,0.48,0.61,0.48,0.79,0.56,2.5
V0890,R046,Harvest,Japanese,103,150,1,No,No,5453,13,0,57,Male,Creative,0.47,0.58,0.18,0.55,0.53,2.0
V0871,R020,Peshi,Fusion,142,37,1,Yes,No,5212,22,0,35,Female,Finance,0.79,0.46,0.5,0.58,0.66,3.5
V0435,R049,Margarita Bistro,Georgian,266,63,3,No,No,3019,49,0,42,Female,Creative,0.7,0.63,0.59,0.46,0.59,2.5
V0009,R025,Technikum,Author's,132,54,2,Yes,No,5274,16,0,24,Female,Sales,0.84,0.41,0.24,0.43,0.45,1.5
V0412,R004,SAVVA,Seafood,186,168,1,Yes,No,4008,27,0,50,Female,Entrepreneur,0.6,0.57,0.47,0.84,0.76,1.5
V0633,R037,Gastronome,Fusion,237,68,2,No,No,5618,43,0,56,Female,Sales,0.61,0.91,0.48,0.53,0.67,4.0
V0722,R037,Gastronome,Fusion,237,68,2,No,No,5618,43,0,60,Female,Service Worker,0.76,0.35,0.43,0.68,0.25,2.0
V0828,R034,Butler,Georgian,279,77,1,Yes,No,2967,40,0,54,Male,IT Specialist,0.63,0.67,0.59,0.39,0.43,3.0
V0443,R045,Gvidon,Georgian,329,94,1,Yes,No,5898,58,0,55,Female,Student,0.59,0.65,0.34,0.67,0.41,2.5
V0207,R001,Twins Garden,Seafood,136,54,1,Yes,No,5306,32,0,64,Female,Sales,0.32,0.73,0.23,0.6,0.34,2.0
V0079,R037,Gastronome,Fusion,237,68,2,No,No,5618,43,0,22,Male,Scientist,0.66,0.56,0.69,0.48,0.69,3.0
V0438,R013,Sage,Georgian,220,69,2,Yes,No,5858,43,0,55,Female,Medical,0.66,0.58,0.14,0.47,0.36,3.0
V0648,R042,AQ Kitchen,Author's,162,31,1,Yes,No,2506,32,0,53,Female,Student,0.6,0.46,0.66,0.68,0.49,1.0
V0201,R034,Butler,Georgian,279,77,1,Yes,No,2967,40,0,30,Female,Student,0.62,0.47,0.3,0.76,0.15,1.5
V0603,R035,Avocado Queen,Georgian,271,72,2,No,Yes,4157,57,0,38,Female,IT Specialist,0.5,0.39,0.47,0.73,0.2,3.5
V0954,R024,Pinch,Fusion,125,73,1,Yes,No,2893,13,0,29,Female,Manager,0.48,0.71,0.31,0.7,0.87,2.5
V0517,R036,Volna,Georgian,254,48,1,Yes,Yes,3387,46,0,62,Female,Manager,0.56,0.62,0.6,0.56,0.83,3.0
V0355,R002,Artest Chef’s Table,Japanese,160,121,1,No,No,3285,32,0,27,Male,Sales,0.57,0.51,0.38,0.51,0.63,3.0
V0881,R035,Avocado Queen,Georgian,271,72,2,No,Yes,4157,57,0,59,Male,Creative,0.68,0.85,0.6,0.59,0.31,2.5
V0915,R016,Padron,Mediterranean,440,60,1,Yes,No,4316,76,0,26,Female,Manager,0.42,0.63,0.69,0.59,0.64,2.5
V0621,R036,Volna,Georgian,254,48,1,Yes,Yes,3387,46,0,35,Male,Student,0.61,0.37,0.54,0.32,0.08,2.5
V0025,R030,Dr. Zhivago,Asian,337,58,1,Yes,Yes,2952,54,0,22,Male,Student,0.55,0.72,0.63,0.54,0.27,2.5
V0519,R020,Peshi,Fusion,142,37,1,Yes,No,5212,22,0,55,Female,Manager,0.33,0.61,0.65,0.65,0.72,3.0
V0940,R022,Severyane,Fusion,161,86,1,Yes,Yes,5170,29,1,40,Male,Sales,0.61,0.55,0.57,0.56,0.54,4.5
V0422,R040,Alice,Fusion,149,71,1,Yes,No,2637,23,2,57,Female,Student,0.53,0.77,0.37,0.57,0.39,4.5
V0095,R007,Grand Cru,Italian,227,46,2,No,No,5496,38,1,44,Female,Finance,0.66,0.49,0.48,0.56,0.79,4.5
V0915,R028,L.E.S.,Author's,194,73,3,No,No,5713,23,0,26,Female,Manager,0.42,0.63,0.69,0.59,0.64,1.0
V0449,R044,Pushkin,Mediterranean,532,39,1,Yes,No,5211,94,0,62,Male,Finance,0.47,0.4,0.65,0.52,0.42,3.5
V0588,R025,Technikum,Author's,132,54,2,Yes,No,5274,16,0,56,Male,Medical,0.62,0.69,0.77,0.73,0.32,2.0
V0578,R040,Alice,Fusion,149,71,1,Yes,No,2637,23,2,54,Male,Creative,0.57,0.58,0.44,0.33,0.53,4.5
V0925,R022,Severyane,Fusion,161,86,1,Yes,Yes,5170,29,1,41,Female,Creative,0.53,0.63,0.68,0.38,0.44,3.5
V0616,R011,Probka,Georgian,332,61,1,No,No,3747,57,1,51,Male,IT Specialist,0.5,0.49,0.51,0.51,0.61,4.5
V0564,R014,Onest,Author's,190,51,1,Yes,No,5936,38,0,32,Female,Medical,0.51,0.68,0.67,0.63,0.36,1.0
V0070,R011,Probka,Georgian,332,61,1,No,No,3747,57,1,37,Male,Scientist,0.48,0.55,0.35,0.64,0.16,4.0
V0907,R030,Dr. Zhivago,Asian,337,58,1,Yes,Yes,2952,54,0,52,Female,Scientist,0.42,0.41,0.47,0.54,0.45,4.0
V0173,R014,Onest,Author's,190,51,1,Yes,No,5936,38,0,54,Male,Finance,0.39,0.82,0.16,0.57,0.08,1.0
V0532,R008,Biologie,Asian,96,53,2,Yes,Yes,3185,5,0,21,Male,Manager,0.47,0.74,0.51,0.54,0.39,2.5
V0969,R004,SAVVA,Seafood,186,168,1,Yes,No,4008,27,0,31,Female,Creative,0.83,0.49,0.71,0.61,0.54,1.5
V0738,R007,Grand Cru,Italian,227,46,2,No,No,5496,38,1,52,Male,Scientist,0.54,0.48,0.88,0.64,0.43,4.5
V0088,R023,Cristal Room Baccarat,French,108,79,2,Yes,No,6023,19,0,57,Female,Service Worker,0.45,0.47,0.75,0.5,0.15,2.0
V0076,R046,Harvest,Japanese,103,150,1,No,No,5453,13,0,54,Male,Creative,0.86,0.75,0.65,0.63,0.26,2.0
V0041,R015,Big Wine Freaks,Fusion,136,36,2,No,No,5540,22,0,39,Female,Service Worker,0.51,0.65,0.7,0.61,0.5,2.0
V0108,R009,Sakhalin,Seafood,128,78,2,Yes,No,4288,29,0,46,Male,Finance,0.81,0.59,0.61,0.65,0.45,1.5
V0488,R031,Natakhtari,Italian,223,63,1,No,No,3412,41,0,60,Female,Scientist,0.48,0.55,0.62,0.68,0.55,3.5
V0381,R034,Butler,Georgian,279,77,1,Yes,No,2967,40,0,23,Female,Service Worker,0.58,0.4,0.54,0.49,0.29,1.5
V0817,R025,Technikum,Author's,132,54,2,Yes,No,5274,16,0,62,Female,Creative,0.61,0.5,0.28,0.56,0.61,1.0
V0071,R046,Harvest,Japanese,103,150,1,No,No,5453,13,0,26,Female,Creative,0.9,0.81,1.0,0.65,0.45,2.0
V0595,R028,L.E.S.,Author's,194,73,3,No,No,5713,23,0,43,Female,Service Worker,0.56,0.73,0.53,0.52,0.41,1.0
V0459,R038,Corner Cafe,Author's,175,125,2,Yes,No,5889,21,0,42,Female,Manager,0.69,0.58,0.57,0.67,0.89,1.5
V0395,R004,SAVVA,Seafood,186,168,1,Yes,No,4008,27,0,20,Male,Sales,0.76,0.5,0.68,0.55,0.09,1.0
V0863,R032,Expedition,Asian,155,146,1,No,No,4513,30,0,18,Female,Scientist,0.79,0.4,0.82,0.57,0.47,3.0
V0319,R033,Assunta Madre,Russian,282,54,3,Yes,No,3981,45,0,35,Male,Sales,0.74,0.56,0.57,0.49,0.42,3.0
V0662,R029,Chemodan,Italian,102,48,1,Yes,No,4062,19,0,27,Female,Finance,0.43,0.39,0.7,0.67,0.58,3.0
V0474,R015,Big Wine Freaks,Fusion,136,36,2,No,No,5540,22,0,46,Male,Service Worker,0.43,0.25,0.79,0.42,0.72,2.0
V0016,R046,Harvest,Japanese,103,150,1,No,No,5453,13,0,64,Female,IT Specialist,0.56,0.5,0.85,0.66,0.15,3.0
V0058,R034,Butler,Georgian,279,77,1,Yes,No,2967,40,0,55,Male,Finance,0.8,0.49,0.06,0.52,0.56,3.5
V0045,R042,AQ Kitchen,Author's,162,31,1,Yes,No,2506,32,0,22,Male,Entrepreneur,0.61,0.41,0.3,0.41,0.75,1.0
V0291,R001,Twins Garden,Seafood,136,54,1,Yes,No,5306,32,0,51,Male,Medical,0.65,0.65,0.43,0.57,0.25,2.0
V0852,R013,Sage,Georgian,220,69,2,Yes,No,5858,43,0,54,Female,Scientist,0.53,0.66,0.79,0.65,0.54,3.0
V0396,R044,Pushkin,Mediterranean,532,39,1,Yes,No,5211,94,0,55,Female,Service Worker,0.97,0.69,0.65,0.53,0.62,3.0
V0618,R004,SAVVA,Seafood,186,168,1,Yes,No,4008,27,0,36,Male,Medical,0.48,0.47,0.6,0.55,0.59,2.0
V0115,R006,Beluga,Georgian,424,64,3,Yes,Yes,6502,72,0,33,Female,Sales,0.42,0.43,0.86,0.55,0.87,3.5
V0355,R030,Dr. Zhivago,Asian,337,58,1,Yes,Yes,2952,54,0,27,Male,Sales,0.57,0.51,0.38,0.51,0.63,3.5
V0676,R019,BOLSHOI,Italian,256,89,3,Yes,No,5882,47,0,51,Male,Scientist,0.63,0.34,0.44,0.52,0.55,3.5
V0154,R023,Cristal Room Baccarat,French,108,79,2,Yes,No,6023,19,0,42,Male,Entrepreneur,0.76,0.78,0.34,0.56,0.17,2.0
V0084,R024,Pinch,Fusion,125,73,1,Yes,No,2893,13,0,35,Male,Scientist,0.51,0.69,0.28,0.61,0.19,3.0
V0687,R015,Big Wine Freaks,Fusion,136,36,2,No,No,5540,22,0,39,Male,Medical,0.73,0.48,0.12,0.71,0.43,3.0
V0490,R014,Onest,Author's,190,51,1,Yes,No,5936,38,0,43,Male,Finance,0.97,0.63,0.6,0.69,0.55,2.0
V0001,R050,Probka na Tsvetnom,Author's,173,37,2,Yes,Yes,3768,27,0,54,Male,Finance,0.57,0.59,0.59,0.47,0.33,2.0
V0720,R024,Pinch,Fusion,125,73,1,Yes,No,2893,13,0,36,Female,Scientist,0.74,0.59,0.55,0.49,0.53,3.0
V0360,R019,BOLSHOI,Italian,256,89,3,Yes,No,5882,47,0,51,Female,Student,0.57,0.5,0.21,0.68,0.62,2.5
V0993,R006,Beluga,Georgian,424,64,3,Yes,Yes,6502,72,0,43,Male,Manager,0.5,0.3,0.48,0.74,0.79,2.5
V0205,R009,Sakhalin,Seafood,128,78,2,Yes,No,4288,29,0,48,Male,Manager,0.88,0.69,0.81,0.64,0.21,1.5
V0284,R015,Big Wine Freaks,Fusion,136,36,2,No,No,5540,22,0,31,Female,Finance,0.61,0.52,0.59,0.71,0.62,2.5
V0964,R004,SAVVA,Seafood,186,168,1,Yes,No,4008,27,0,20,Male,Scientist,0.48,0.36,0.7,0.68,0.59,2.5
V0864,R039,Fahrenheit,Georgian,154,84,1,No,Yes,4056,31,1,65,Male,Scientist,0.54,0.68,0.21,0.64,0.47,5.0
V0589,R023,Cristal Room Baccarat,French,108,79,2,Yes,No,6023,19,0,62,Male,Service Worker,0.45,0.54,0.4,0.58,0.6,1.5
V0441,R011,Probka,Georgian,332,61,1,No,No,3747,57,1,27,Male,Medical,0.6,0.4,0.45,0.66,0.13,4.0
V0703,R003,White Rabbit,Author's,392,55,1,Yes,No,5149,64,0,58,Male,Manager,0.55,0.53,0.34,0.63,0.57,1.0
V0505,R003,White Rabbit,Author's,392,55,1,Yes,No,5149,64,0,31,Male,IT Specialist,0.62,0.72,0.67,0.63,0.44,1.5
V0461,R045,Gvidon,Georgian,329,94,1,Yes,No,5898,58,0,33,Female,IT Specialist,0.56,0.26,0.72,0.68,0.38,2.5
V0257,R049,Margarita Bistro,Georgian,266,63,3,No,No,3019,49,0,58,Female,Scientist,0.31,0.52,0.61,0.47,0.39,3.5
V0193,R038,Corner Cafe,Author's,175,125,2,Yes,No,5889,21,0,50,Male,Student,0.73,0.58,0.16,0.62,0.47,1.0
V0764,R040,Alice,Fusion,149,71,1,Yes,No,2637,23,2,39,Female,Student,0.48,0.32,0.64,0.61,0.69,4.5
V0157,R046,Harvest,Japanese,103,150,1,No,No,5453,13,0,31,Male,Entrepreneur,0.61,0.77,0.31,0.65,0.52,2.0
V0738,R035,Avocado Queen,Georgian,271,72,2,No,Yes,4157,57,0,52,Male,Scientist,0.54,0.48,0.88,0.64,0.43,3.0
V0529,R023,Cristal Room Baccarat,French,108,79,2,Yes,No,6023,19,0,50,Male,Service Worker,0.73,0.59,0.36,0.56,0.27,2.0
V0241,R013,Sage,Georgian,220,69,2,Yes,No,5858,43,0,31,Male,Student,0.4,0.23,0.48,0.63,0.75,2.0
V0675,R013,Sage,Georgian,220,69,2,Yes,No,5858,43,0,54,Female,Medical,0.45,0.59,0.27,0.57,0.3,3.0
V0838,R009,Sakhalin,Seafood,128,78,2,Yes,No,4288,29,0,31,Male,Scientist,0.45,0.35,0.21,0.65,0.49,2.0
V0786,R014,Onest,Author's,190,51,1,Yes,No,5936,38,0,31,Male,Entrepreneur,0.84,0.48,0.49,0.6,0.41,1.0
V0367,R011,Probka,Georgian,332,61,1,No,No,3747,57,1,39,Male,IT Specialist,0.43,0.31,0.44,0.7,0.61,4.5
V0463,R007,Grand Cru,Italian,227,46,2,No,No,5496,38,1,33,Male,Finance,0.67,0.85,0.53,0.72,0.17,4.0
V0734,R035,Avocado Queen,Georgian,271,72,2,No,Yes,4157,57,0,32,Male,Sales,0.62,0.61,0.85,0.52,0.56,3.0
V0186,R037,Gastronome,Fusion,237,68,2,No,No,5618,43,0,34,Male,Student,0.65,0.73,0.41,0.6,0.43,2.5
V0188,R043,Pavilion,Asian,96,110,3,Yes,No,3855,13,0,34,Female,Medical,0.55,0.53,0.38,0.62,0.44,2.5
V0062,R034,Butler,Georgian,279,77,1,Yes,No,2967,40,0,50,Female,Manager,0.43,0.6,0.66,0.51,0.67,2.5
V0387,R031,Natakhtari,Italian,223,63,1,No,No,3412,41,0,18,Female,Sales,0.33,0.57,0.51,0.48,0.59,3.0
V0644,R018,La Marée,Asian,67,56,2,No,No,5289,11,0,62,Male,Service Worker,0.77,0.74,0.33,0.59,0.63,2.5
V0964,R032,Expedition,Asian,155,146,1,No,No,4513,30,0,20,Male,Scientist,0.48,0.36,0.7,0.68,0.59,3.0
V0715,R036,Volna,Georgian,254,48,1,Yes,Yes,3387,46,0,39,Male,Entrepreneur,0.64,0.54,0.64,0.51,0.43,2.5
V0494,R021,Darbar,French,106,68,3,No,No,3143,13,0,59,Female,Finance,0.77,0.65,0.45,0.55,0.63,3.0
V0666,R026,Grace Bistro,Japanese,77,50,2,Yes,No,9397,19,0,50,Male,Finance,0.83,0.54,0.29,0.65,0.51,2.0
V0312,R031,Natakhtari,Italian,223,63,1,No,No,3412,41,0,39,Male,Finance,0.65,0.57,0.48,0.74,0.3,3.5
V0748,R047,Sartoria Lamberti,Italian,147,39,2,Yes,No,5986,28,0,26,Male,Entrepreneur,0.68,0.47,0.48,0.54,0.68,2.5
V0683,R002,Artest Chef’s Table,Japanese,160,121,1,No,No,3285,32,0,45,Female,Entrepreneur,0.55,0.75,0.43,0.59,0.16,2.0
V0283,R009,Sakhalin,Seafood,128,78,2,Yes,No,4288,29,0,24,Male,Sales,0.51,0.48,0.45,0.59,0.3,1.5
V0586,R003,White Rabbit,Author's,392,55,1,Yes,No,5149,64,0,35,Female,Student,0.57,0.49,0.39,0.77,0.0,1.0
V0339,R003,White Rabbit,Author's,392,55,1,Yes,No,5149,64,0,26,Male,Finance,0.48,0.39,0.25,0.63,0.57,1.5
V0415,R042,AQ Kitchen,Author's,162,31,1,Yes,No,2506,32,0,54,Male,Manager,0.44,0.49,0.8,0.59,0.39,1.0
V0886,R038,Corner Cafe,Author's,175,125,2,Yes,No,5889,21,0,19,Male,Scientist,0.92,0.73,0.32,0.67,0.77,1.5
V0443,R021,Darbar,French,106,68,3,No,No,3143,13,0,55,Female,Student,0.59,0.65,0.34,0.67,0.41,2.0
V0622,R046,Harvest,Japanese,103,150,1,No,No,5453,13,0,57,Female,Medical,0.57,0.62,0.63,0.65,0.02,2.5
V0576,R039,Fahrenheit,Georgian,154,84,1,No,Yes,4056,31,1,28,Female,Medical,0.57,0.55,0.29,0.58,0.31,4.0
V0558,R029,Chemodan,Italian,102,48,1,Yes,No,4062,19,0,56,Female,Finance,0.71,0.6,0.9,0.72,0.24,2.5
V0746,R037,Gastronome,Fusion,237,68,2,No,No,5618,43,0,52,Female,Sales,0.59,0.4,0.54,0.63,0.37,3.0
V0711,R035,Avocado Queen,Georgian,271,72,2,No,Yes,4157,57,0,48,Male,Scientist,0.87,0.34,0.4,0.47,0.59,4.0
V0629,R019,BOLSHOI,Italian,256,89,3,Yes,No,5882,47,0,40,Male,Finance,0.56,0.65,1.0,0.66,0.68,3.0
V0483,R011,Probka,Georgian,332,61,1,No,No,3747,57,1,52,Male,IT Specialist,0.42,0.64,0.51,0.69,0.35,4.5
V0563,R049,Margarita Bistro,Georgian,266,63,3,No,No,3019,49,0,27,Female,Medical,0.69,0.8,0.53,0.65,0.4,3.0
V0871,R002,Artest Chef’s Table,Japanese,160,121,1,No,No,3285,32,0,35,Female,Finance,0.79,0.46,0.5,0.58,0.66,3.5
V0352,R014,Onest,Author's,190,51,1,Yes,No,5936,38,0,63,Female,Creative,0.84,0.57,0.68,0.62,0.0,1.0
V0436,R050,Probka na Tsvetnom,Author's,173,37,2,Yes,Yes,3768,27,0,45,Male,Service Worker,0.56,0.55,0.7,0.67,0.79,1.5
V0666,R045,Gvidon,Georgian,329,94,1,Yes,No,5898,58,0,50,Male,Finance,0.83,0.54,0.29,0.65,0.51,3.5
V0739,R046,Harvest,Japanese,103,150,1,No,No,5453,13,0,24,Female,Finance,0.46,0.51,0.6,0.82,0.54,2.0
V0125,R045,Gvidon,Georgian,329,94,1,Yes,No,5898,58,0,63,Female,Creative,0.37,0.82,0.47,0.52,0.36,2.0
V0400,R007,Grand Cru,Italian,227,46,2,No,No,5496,38,1,51,Male,Medical,0.44,0.58,0.5,0.56,0.64,5.0
V0790,R029,Chemodan,Italian,102,48,1,Yes,No,4062,19,0,41,Female,Finance,0.57,0.38,0.86,0.62,0.29,3.0
V0672,R031,Natakhtari,Italian,223,63,1,No,No,3412,41,0,49,Female,Entrepreneur,0.61,0.42,0.51,0.68,0.49,2.5
V0835,R040,Alice,Fusion,149,71,1,Yes,No,2637,23,2,59,Male,IT Specialist,0.33,0.54,0.43,0.62,0.21,4.5
V1000,R008,Biologie,Asian,96,53,2,Yes,Yes,3185,5,0,46,Female,Service Worker,0.51,0.56,0.58,0.47,0.7,2.0
V0543,R017,15 Kitchen + Bar,Mediterranean,231,101,1,Yes,Yes,1667,28,0,25,Female,Sales,0.58,0.64,0.77,0.58,0.33,3.0
V0094,R041,Aist,Mediterranean,127,59,1,No,No,5174,19,0,35,Male,Sales,0.69,0.46,0.4,0.55,0.0,2.0
V0455,R046,Harvest,Japanese,103,150,1,No,No,5453,13,0,23,Female,Scientist,0.86,0.6,0.24,0.58,0.14,3.0
V0666,R049,Margarita Bistro,Georgian,266,63,3,No,No,3019,49,0,50,Male,Finance,0.83,0.54,0.29,0.65,0.51,3.5
V0512,R020,Peshi,Fusion,142,37,1,Yes,No,5212,22,0,33,Female,Service Worker,0.3,0.63,0.68,0.42,0.52,2.0
V0451,R037,Gastronome,Fusion,237,68,2,No,No,5618,43,0,34,Male,Service Worker,0.63,0.58,0.44,0.59,0.51,2.0
V0014,R045,Gvidon,Georgian,329,94,1,Yes,No,5898,58,0,37,Female,Medical,0.61,0.37,0.52,0.51,0.51,3.5
V0971,R018,La Marée,Asian,67,56,2,No,No,5289,11,0,50,Male,Sales,0.57,0.57,0.7,0.44,0.48,3.0
V0965,R040,Alice,Fusion,149,71,1,Yes,No,2637,23,2,62,Female,IT Specialist,0.59,0.46,0.55,0.43,0.59,5.0
V0449,R036,Volna,Georgian,254,48,1,Yes,Yes,3387,46,0,62,Male,Finance,0.47,0.4,0.65,0.52,0.42,3.5
V0589,R007,Grand Cru,Italian,227,46,2,No,No,5496,38,1,62,Male,Service Worker,0.45,0.54,0.4,0.58,0.6,3.0
V0785,R032,Expedition,Asian,155,146,1,No,No,4513,30,0,20,Female,Service Worker,0.7,0.54,0.55,0.56,0.0,1.5
V0890,R026,Grace Bistro,Japanese,77,50,2,Yes,No,9397,19,0,57,Male,Creative,0.47,0.58,0.18,0.55,0.53,2.0
V0083,R022,Severyane,Fusion,161,86,1,Yes,Yes,5170,29,1,41,Female,Service Worker,0.68,0.7,0.27,0.75,0.36,4.5
V0912,R048,Eggsellent,Seafood,143,93,2,No,Yes,3760,23,0,47,Female,Scientist,0.56,0.53,0.24,0.74,0.47,3.0
V0687,R047,Sartoria Lamberti,Italian,147,39,2,Yes,No,5986,28,0,39,Male,Medical,0.73,0.48,0.12,0.71,0.43,3.5
V0393,R003,White Rabbit,Author's,392,55,1,Yes,No,5149,64,0,60,Female,Creative,0.63,0.78,0.18,0.63,0.33,1.5
V0467,R005,Selfie,Seafood,192,129,1,No,Yes,2810,38,0,56,Male,Creative,0.52,0.56,0.15,0.66,0.67,2.5
V0563,R035,Avocado Queen,Georgian,271,72,2,No,Yes,4157,57,0,27,Female,Medical,0.69,0.8,0.53,0.65,0.4,4.0
